file_path,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg,file_name
data\images_raw\제철과사람_2.jpg,150.46980647709321,560.0,633.0,1.8666666666666667,7.648172855377197,0.0,0.0,0.002764612954186414,1.0,0.24286013841629028,0.22377431392669678,0.18913151323795319,0.1798352748155594,0.0537286251783371,0.04393903911113739,제철과사람_2
data\images_raw\제철과사람_3.jpg,124.46185934213042,560.0,747.0,1.8666666666666667,7.491775035858154,0.0,0.0,0.0,0.0,0.2623502314090729,0.2361019402742386,0.2072925567626953,0.19181595742702484,0.055057674646377563,0.044285982847213745,제철과사람_3
data\images_raw\제철과사람_4.jpg,76.53513339070568,560.0,747.0,1.8666666666666667,7.371113300323486,0.0,0.0,0.0,0.0,0.23221828043460846,0.22111749649047852,0.1983289271593094,0.1928611844778061,0.03388935327529907,0.028256312012672424,제철과사람_4
data\images_raw\제철과사람_5.jpg,98.56112545419775,560.0,747.0,1.8666666666666667,7.592268943786621,0.0,0.0,0.0,0.0,0.24202874302864075,0.2193414717912674,0.20079511404037476,0.1856287568807602,0.04123362898826599,0.0337127149105072,제철과사람_5
data\images_raw\제철과사람_6.jpg,138.34191550729557,560.0,421.0,1.4033333333333333,7.411227226257324,0.0,0.0,0.007484306073973533,2.0,0.23511692881584167,0.22221380472183228,0.2046256810426712,0.19290810823440552,0.03049124777317047,0.029305696487426758,제철과사람_6
data\images_raw\제파_1.jpg,146.97723214285713,560.0,420.0,1.4,7.923854351043701,0.012767857142857143,0.0,0.035076530612244895,1.0,0.24515217542648315,0.227342888712883,0.18510250747203827,0.18214266002178192,0.060049667954444885,0.045200228691101074,제파_1
data\images_raw\제파_2.jpg,124.46238095238095,560.0,315.0,1.05,7.735166549682617,0.0,0.0,0.0,0.0,0.2524043619632721,0.23591797053813934,0.2021944373846054,0.19133906066417694,0.05020992457866669,0.0445789098739624,제파_2
data\images_raw\제파_3.jpg,142.12230589022758,560.0,747.0,1.8666666666666667,7.656124591827393,0.0,0.015488143048384011,0.0,0.0,0.22275644540786743,0.21025903522968292,0.19166821241378784,0.18370532989501953,0.03108823299407959,0.02655370533466339,제파_3
data\images_raw\제파_4.jpg,119.95381395515953,560.0,994.0,1.8666666666666667,7.509011268615723,0.04567404426559356,0.0,0.29488358723771196,6.0,0.2607644498348236,0.2229430228471756,0.2250448763370514,0.20698045194149017,0.03571957349777222,0.015962570905685425,제파_4
data\images_raw\제파_5.jpg,137.33798049340217,560.0,747.0,1.8666666666666667,7.512760162353516,0.47375693249187223,0.0,0.1453396921017403,30.0,0.23456904292106628,0.20021110773086548,0.2017330378293991,0.1874833106994629,0.032836005091667175,0.012727797031402588,제파_5
